;customer_id;product_family;size_new;coating_new;nozzle;price_of_nozzle;amount;machine_type;price_of_machine;date_order;date_delivery_is;delivery_time;locality_country;locality_city;replacement_delivery;sales_revenue
0;2;P1;30;B2;P1_30_B2;750;18.0;M0;25000;2018-11-30;2021-03-05;826.0;UK;Witney;0.0;38500.0
1;2;P1;30;B2;P1_30_B2;750;18.0;M0;25000;2018-11-30;2021-03-15;836.0;UK;Witney;0.0;38500.0
2;194;P1;40;B1;P1_40_B1;750;10.0;M4;1000000;2019-03-19;2020-01-31;318.0;South Korea;Seongnam-si (Gyeonggi-do);0.0;1007500.0
3;162;P2;C1;B0;P2_C1_B0;700;4.0;none;0;2019-04-26;2020-02-26;306.0;Germany;Berlin;0.0;2800.0
4;162;P2;C2;B0;P2_C2_B0;700;4.0;none;0;2019-04-26;2020-02-26;306.0;Germany;Berlin;0.0;2800.0
5;162;P2;C3;B0;P2_C3_B0;700;4.0;none;0;2019-04-26;2020-02-26;306.0;Germany;Berlin;0.0;2800.0
6;237;P2;C1;B0;P2_C1_B0;700;3.0;none;0;2019-06-03;2020-03-06;277.0;USA;Tempe;0.0;2100.0
7;237;P2;C3;B0;P2_C3_B0;700;3.0;none;0;2019-06-03;2020-03-06;277.0;USA;Tempe;0.0;2100.0
8;237;P1;00;B1;P1_00_B1;900;2.0;none;0;2019-06-03;2020-12-17;563.0;USA;Tempe;0.0;1800.0
9;237;P1;00;B2;P1_00_B2;900;1.0;none;0;2019-06-03;2020-08-26;450.0;USA;Tempe;0.0;900.0
10;237;P1;40;B2;P1_40_B2;750;6.0;none;0;2019-06-03;2020-08-26;450.0;USA;Tempe;0.0;4500.0
11;237;P1;40;B4;P1_40_B4;800;2.0;none;0;2019-06-03;2020-08-26;450.0;USA;Tempe;0.0;1600.0
12;316;P2;C1;B0;P2_C1_B0;700;2.0;M7;55000;2019-07-26;2020-02-11;200.0;Germany;Bad Langensalza;0.0;56400.0
13;316;P2;C2;B0;P2_C2_B0;700;2.0;M7;55000;2019-07-26;2020-02-11;200.0;Germany;Bad Langensalza;0.0;56400.0
14;316;P2;C3;B0;P2_C3_B0;700;2.0;M7;55000;2019-07-26;2020-02-11;200.0;Germany;Bad Langensalza;0.0;56400.0
15;84;P1;40;B0;P1_40_B0;750;1.0;none;0;2019-08-02;2020-02-04;186.0;Netherlands;Eindhoven;0.0;750.0
16;84;P1;40;B4;P1_40_B4;800;1.0;none;0;2019-08-02;2020-02-04;186.0;Netherlands;Eindhoven;0.0;800.0
17;2;P1;30;B2;P1_30_B2;750;60.0;none;0;2019-09-01;2020-02-06;158.0;UK;Witney;0.0;45000.0
18;61;P1;30;B3;P1_30_B3;750;6.0;M3;100000;2019-09-04;2020-01-21;139.0;China;Changzhou;0.0;104500.0
19;168;P1;20;B0;P1_20_B0;750;10.0;none;0;2019-09-16;2020-01-09;115.0;USA;Milpitas;0.0;7500.0
20;93;P1;00;B3;P1_00_B3;850;1.0;none;0;2019-09-13;2020-01-13;122.0;Germany;Leipzig;0.0;850.0
21;11;P1;00;B2;P1_00_B2;900;4.0;none;0;2019-09-18;2020-02-11;146.0;USA;St. Louis;0.0;3600.0
22;2;P1;30;B2;P1_30_B2;750;60.0;none;0;2019-10-01;2020-03-05;156.0;UK;Witney;0.0;45000.0
23;237;P2;C2;B0;P2_C2_B0;700;2.0;none;0;2019-10-07;2019-10-25;18.0;USA;Tempe;0.0;1400.0
24;2;P1;30;B2;P1_30_B2;750;10.0;M0;25000;2019-10-08;2020-01-15;99.0;UK;Witney;0.0;32500.0
25;2;P1;30;B2;P1_30_B2;750;20.0;M0;25000;2019-10-08;2020-01-15;99.0;UK;Witney;0.0;40000.0
26;58;P2;C1;B0;P2_C1_B0;700;1.0;none;0;2019-10-15;2020-01-29;106.0;France;Lyon;0.0;700.0
