customer_id;product_family;size_new;coating_new;nozzle;price_of_nozzle;amount;machine_type;price_of_machine;date_order;date_delivery_is;delivery_time;locality_country;replacement_delivery;sales_revenue
2;P1;30;B2;P1_30_B2;750;18.0;M0;25000;30.11.2018;05.03.2021;826.0;UK;0.0;38500.0
2;P1;30;B2;P1_30_B2;750;18.0;M0;25000;30.11.2018;15.03.2021;836.0;UK;0.0;38500.0
194;P1;40;B1;P1_40_B1;750;10.0;M4;1000000;19.03.2019;31.01.2020;318.0;South Korea;0.0;1007500.0
162;P2;C1;B0;P2_C1_B0;700;4.0;none;0;26.04.2019;26.02.2020;306.0;Germany;0.0;2800.0
162;P2;C2;B0;P2_C2_B0;700;4.0;none;0;26.04.2019;26.02.2020;306.0;Germany;0.0;2800.0
162;P2;C3;B0;P2_C3_B0;700;4.0;none;0;26.04.2019;26.02.2020;306.0;Germany;0.0;2800.0
237;P2;C1;B0;P2_C1_B0;700;3.0;none;0;03.06.2019;06.03.2020;277.0;USA;0.0;2100.0
237;P2;C3;B0;P2_C3_B0;700;3.0;none;0;03.06.2019;06.03.2020;277.0;USA;0.0;2100.0
237;P1;0;B1;P1_00_B1;900;2.0;none;0;03.06.2019;17.12.2020;563.0;USA;0.0;1800.0
237;P1;0;B2;P1_00_B2;900;1.0;none;0;03.06.2019;26.08.2020;450.0;USA;0.0;900.0
237;P1;40;B2;P1_40_B2;750;6.0;none;0;03.06.2019;26.08.2020;450.0;USA;0.0;4500.0
237;P1;40;B4;P1_40_B4;800;2.0;none;0;03.06.2019;26.08.2020;450.0;USA;0.0;1600.0
316;P2;C1;B0;P2_C1_B0;700;2.0;M7;55000;26.07.2019;11.02.2020;200.0;Germany;0.0;56400.0
316;P2;C2;B0;P2_C2_B0;700;2.0;M7;55000;26.07.2019;11.02.2020;200.0;Germany;0.0;56400.0
316;P2;C3;B0;P2_C3_B0;700;2.0;M7;55000;26.07.2019;11.02.2020;200.0;Germany;0.0;56400.0
84;P1;40;B0;P1_40_B0;750;1.0;none;0;02.08.2019;04.02.2020;186.0;Netherlands;0.0;750.0
84;P1;40;B4;P1_40_B4;800;1.0;none;0;02.08.2019;04.02.2020;186.0;Netherlands;0.0;800.0
2;P1;30;B2;P1_30_B2;750;60.0;none;0;01.09.2019;06.02.2020;158.0;UK;0.0;45000.0
61;P1;30;B3;P1_30_B3;750;6.0;M3;100000;04.09.2019;21.01.2020;139.0;China;0.0;104500.0
168;P1;20;B0;P1_20_B0;750;10.0;none;0;16.09.2019;09.01.2020;115.0;USA;0.0;7500.0
93;P1;0;B3;P1_00_B3;850;1.0;none;0;13.09.2019;13.01.2020;122.0;Germany;0.0;850.0
11;P1;0;B2;P1_00_B2;900;4.0;none;0;18.09.2019;11.02.2020;146.0;USA;0.0;3600.0
2;P1;30;B2;P1_30_B2;750;60.0;none;0;01.10.2019;05.03.2020;156.0;UK;0.0;45000.0
237;P2;C2;B0;P2_C2_B0;700;2.0;none;0;07.10.2019;25.10.2019;18.0;USA;0.0;1400.0
2;P1;30;B2;P1_30_B2;750;10.0;M0;25000;08.10.2019;15.01.2020;99.0;UK;0.0;32500.0
2;P1;30;B2;P1_30_B2;750;20.0;M0;25000;08.10.2019;15.01.2020;99.0;UK;0.0;40000.0
58;P2;C1;B0;P2_C1_B0;700;1.0;none;0;15.10.2019;29.01.2020;106.0;France;0.0;700.0
58;P2;C1;B0;P2_C1_B0;700;3.0;none;0;15.10.2019;31.07.2020;290.0;France;0.0;2100.0
58;P2;C2;B0;P2_C2_B0;700;2.0;none;0;15.10.2019;29.01.2020;106.0;France;0.0;1400.0
58;P2;C2;B0;P2_C2_B0;700;4.0;none;0;15.10.2019;31.07.2020;290.0;France;0.0;2800.0
58;P2;C3;B0;P2_C3_B0;700;1.0;none;0;15.10.2019;29.01.2020;106.0;France;0.0;700.0
24;P2;C2;B0;P2_C2_B0;700;2.0;M7;55000;17.10.2019;05.03.2020;140.0;UK;0.0;56400.0
198;P1;10;B0;P1_10_B0;750;3.0;none;0;21.10.2019;05.02.2020;107.0;Germany;0.0;2250.0
220;P1;30;B0;P1_30_B0;750;10.0;none;0;24.10.2019;17.01.2020;85.0;Ireland;0.0;7500.0
317;P1;40;B0;P1_40_B0;750;4.0;none;0;31.10.2019;09.01.2020;70.0;Spain;0.0;3000.0
2;P1;30;B2;P1_30_B2;750;60.0;none;0;01.11.2019;31.03.2020;151.0;UK;0.0;45000.0
180;P1;0;B4;P1_00_B4;1000;5.0;M3;100000;04.11.2019;27.04.2020;175.0;Australia;0.0;105000.0
26;P1;20;B1;P1_20_B1;750;60.0;M4;1000000;04.11.2019;09.11.2020;371.0;China;0.0;1045000.0
253;P1;10;B0;P1_10_B0;750;5.0;none;0;04.11.2019;14.02.2020;102.0;Czech Republic;0.0;3750.0
253;P1;10;B1;P1_10_B1;750;5.0;none;0;04.11.2019;22.01.2020;79.0;Czech Republic;0.0;3750.0
122;P1;40;B2;P1_40_B2;750;4.0;none;0;04.11.2019;05.05.2020;183.0;Germany;0.0;3000.0
11;P1;0;B0;P1_00_B0;750;10.0;M3;100000;05.11.2019;10.07.2020;248.0;USA;0.0;107500.0
203;P1;10;B4;P1_10_B4;850;8.0;none;0;06.11.2019;06.02.2020;92.0;Sweden;0.0;6800.0
302;P1;30;B0;P1_30_B0;750;2.0;none;0;13.11.2019;22.01.2020;70.0;Germany;0.0;1500.0
302;P1;30;B2;P1_30_B2;750;2.0;none;0;13.11.2019;22.01.2020;70.0;Germany;0.0;1500.0
302;P1;30;B2;P1_30_B2;750;4.0;none;0;13.11.2019;18.02.2020;97.0;Germany;0.0;3000.0
302;P1;30;B2;P1_30_B2;750;4.0;none;0;13.11.2019;20.03.2020;128.0;Germany;0.0;3000.0
161;P1;20;B3;P1_20_B3;750;3.0;none;0;14.11.2019;07.02.2020;85.0;USA;0.0;2250.0
1;P1;20;B1;P1_20_B1;750;2.0;none;0;14.11.2019;07.01.2020;54.0;Singapur;0.0;1500.0
232;P1;20;B0;P1_20_B0;750;4.0;none;0;14.11.2019;04.03.2020;111.0;Canada;0.0;3000.0
16;P1;20;B0;P1_20_B0;750;3.0;none;0;14.11.2019;12.02.2020;90.0;Canada;0.0;2250.0
300;P1;40;B2;P1_40_B2;750;1.0;none;0;14.11.2019;06.02.2020;84.0;USA;0.0;750.0
300;P1;20;B1;P1_20_B1;750;2.0;none;0;14.11.2019;06.02.2020;84.0;USA;0.0;1500.0
234;P1;20;B2;P1_20_B2;750;4.0;none;0;14.11.2019;14.02.2020;92.0;USA;0.0;3000.0
120;P1;50;B1;P1_50_B1;750;1.0;none;0;15.11.2019;15.01.2020;61.0;Belgium;0.0;750.0
120;P1;50;B2;P1_50_B2;750;1.0;none;0;15.11.2019;15.01.2020;61.0;Belgium;0.0;750.0
120;P1;50;B3;P1_50_B3;750;1.0;none;0;15.11.2019;15.01.2020;61.0;Belgium;0.0;750.0
120;P1;50;B4;P1_50_B4;800;1.0;none;0;15.11.2019;05.08.2020;264.0;Belgium;0.0;800.0
303;P1;40;B2;P1_40_B2;750;4.0;none;0;18.11.2019;24.02.2020;98.0;Spain;0.0;3000.0
233;P1;20;B2;P1_20_B2;750;5.0;none;0;19.11.2019;17.12.2020;394.0;USA;0.0;3750.0
140;P1;30;B1;P1_30_B1;750;2.0;none;0;20.11.2019;14.02.2020;86.0;USA;0.0;1500.0
315;P2;C2;B0;P2_C2_B0;700;1.0;none;0;26.11.2019;16.01.2020;51.0;USA;0.0;700.0
62;P2;C2;B0;P2_C2_B0;700;4.0;M7;55000;26.11.2019;09.01.2020;44.0;Germany;0.0;57800.0
123;P1;0;B0;P1_00_B0;750;1.0;none;0;28.11.2019;12.02.2020;76.0;Portugal;0.0;750.0
37;P1;20;B2;P1_20_B2;750;2.0;none;0;29.11.2019;24.01.2020;56.0;France;0.0;1500.0
131;P1;0;B4;P1_00_B4;1000;2.0;none;0;29.11.2019;21.02.2020;84.0;USA;0.0;2000.0
220;P1;30;B0;P1_30_B0;750;24.0;none;0;29.11.2019;19.02.2020;82.0;Ireland;0.0;18000.0
134;P1;20;B4;P1_20_B4;800;4.0;none;0;03.12.2019;13.01.2020;41.0;UK;0.0;3200.0
70;P1;20;B1;P1_20_B1;750;4.0;none;0;03.12.2019;30.01.2020;58.0;Denmark;0.0;3000.0
153;P1;10;B0;P1_10_B0;750;2.0;none;0;04.12.2019;14.02.2020;72.0;France;0.0;1500.0
317;P1;40;B0;P1_40_B0;750;4.0;none;0;04.12.2019;04.02.2020;62.0;Spain;0.0;3000.0
201;P1;20;B0;P1_20_B0;750;4.0;none;0;04.12.2019;06.02.2020;64.0;Netherlands;0.0;3000.0
